---,TaskName,TaskProgress,TaskRequired,TaskProgressExtension,TaskRequiredExtension,HasExtension,BoxType,BoxTypeExtension
Food,"Prepare Meal","0","1","0","0","False","Food","MysteryBag"
Clothes,"Get Clothes","0","0","0","0","False","Clothes","MysteryBag"
TestTubes,"Get Test Tubes","0","0","0","0","False","TestTube","MysteryBag"
WashRags,"Get Wash Rags","0","0","0","0","False","WashRag","MysteryBag"
GeigerCounter,"Get Geiger Counter","0","0","0","0","False","GeigerCounter","MysteryBag"
Dosimeter,"Get Dosimeter","0","0","0","0","False","Dosimeter","MysteryBag"
Seeds,"Get Seeds","0","0","0","0","False","Seeds","MysteryBag"
Microscope,"Get Microscopes","0","0","0","0","False","Microscope","MysteryBag"
Slides,"Get Slides","0","0","0","0","False","Slides","MysteryBag"
Centrifuge,"Get Centrifuge","0","0","0","0","False","Centrifuge","MysteryBag"
PetriDish,"Get Petri Dishes","0","0","0","0","False","PetriDish","MysteryBag"
OrganicSamples,"Get Organic Samples","0","0","0","0","False","OrganicSamples","MysteryBag"
SolarCells,"Get Solar Cells","0","0","0","0","False","SolarCell","MysteryBag"
Trash,"Dispose Trash","0","0","0","0","False","Trash","MysteryBag"
